customers_affected,notice_id,planned_start,planned_end,actual_start,actual_end,longitude,latitude,aip_version,pulled_at
2,NA,NA,NA,NA,NA,NA,NA,20260625224016,2026-06-26 02:46:33
183177,NA,NA,NA,NA,NA,NA,NA,20260625224016,2026-06-26 02:46:33
NA,NA,NA,NA,NA,NA,NA,NA,20260625224016,2026-06-26 02:46:33
NA,NA,NA,NA,NA,NA,NA,NA,20260625224016,2026-06-26 02:46:33
NA,NA,NA,NA,NA,NA,NA,NA,20260625224016,2026-06-26 02:46:33
NA,NA,NA,NA,NA,NA,NA,NA,20260625224016,2026-06-26 02:46:33
NA,NA,NA,NA,NA,NA,NA,NA,20260625224016,2026-06-26 02:46:33
NA,NA,NA,NA,NA,NA,NA,NA,20260625224016,2026-06-26 02:46:33
NA,NA,NA,NA,NA,NA,NA,NA,20260625224016,2026-06-26 02:46:33
NA,NA,NA,NA,NA,NA,NA,NA,20260625224016,2026-06-26 02:46:33
71,NA,NA,NA,NA,NA,NA,NA,20260625224016,2026-06-26 02:46:33
99,NA,NA,NA,NA,NA,NA,NA,20260625224016,2026-06-26 02:46:33
NA,NA,NA,NA,NA,NA,NA,NA,20260625224016,2026-06-26 02:46:33
99060,NA,NA,NA,NA,NA,NA,NA,20260625224016,2026-06-26 02:46:33
NA,NA,NA,NA,NA,NA,NA,NA,20260625224016,2026-06-26 02:46:33
NA,NA,NA,NA,NA,NA,-77.50711665479473,53.59927961569264,20260625224016,2026-06-26 02:46:33
2,NA,NA,NA,NA,NA,NA,NA,20260626023006,2026-06-26 06:39:29
183177,NA,NA,NA,NA,NA,NA,NA,20260626023006,2026-06-26 06:39:29
NA,NA,NA,NA,NA,NA,NA,NA,20260626023006,2026-06-26 06:39:29
NA,NA,NA,NA,NA,NA,NA,NA,20260626023006,2026-06-26 06:39:29
NA,NA,NA,NA,NA,NA,NA,NA,20260626023006,2026-06-26 06:39:29
NA,NA,NA,NA,NA,NA,NA,NA,20260626023006,2026-06-26 06:39:29
NA,NA,NA,NA,NA,NA,NA,NA,20260626023006,2026-06-26 06:39:29
NA,NA,NA,NA,NA,NA,NA,NA,20260626023006,2026-06-26 06:39:29
NA,NA,NA,NA,NA,NA,NA,NA,20260626023006,2026-06-26 06:39:29
NA,NA,NA,NA,NA,NA,NA,NA,20260626023006,2026-06-26 06:39:29
71,NA,NA,NA,NA,NA,NA,NA,20260626023006,2026-06-26 06:39:29
99,NA,NA,NA,NA,NA,NA,NA,20260626023006,2026-06-26 06:39:29
NA,NA,NA,NA,NA,NA,NA,NA,20260626023006,2026-06-26 06:39:29
99060,NA,NA,NA,NA,NA,NA,NA,20260626023006,2026-06-26 06:39:29
NA,NA,NA,NA,NA,NA,NA,NA,20260626023006,2026-06-26 06:39:29
NA,NA,NA,NA,NA,NA,-77.50711665479473,53.59927961569264,20260626023006,2026-06-26 06:39:29
2,NA,NA,NA,NA,NA,NA,NA,20260626055009,2026-06-26 10:02:44
183177,NA,NA,NA,NA,NA,NA,NA,20260626055009,2026-06-26 10:02:44
NA,NA,NA,NA,NA,NA,NA,NA,20260626055009,2026-06-26 10:02:44
NA,NA,NA,NA,NA,NA,NA,NA,20260626055009,2026-06-26 10:02:44
NA,NA,NA,NA,NA,NA,NA,NA,20260626055009,2026-06-26 10:02:44
NA,NA,NA,NA,NA,NA,NA,NA,20260626055009,2026-06-26 10:02:44
NA,NA,NA,NA,NA,NA,NA,NA,20260626055009,2026-06-26 10:02:44
NA,NA,NA,NA,NA,NA,NA,NA,20260626055009,2026-06-26 10:02:44
NA,NA,NA,NA,NA,NA,NA,NA,20260626055009,2026-06-26 10:02:44
NA,NA,NA,NA,NA,NA,NA,NA,20260626055009,2026-06-26 10:02:44
71,NA,NA,NA,NA,NA,NA,NA,20260626055009,2026-06-26 10:02:44
99,NA,NA,NA,NA,NA,NA,NA,20260626055009,2026-06-26 10:02:44
NA,NA,NA,NA,NA,NA,NA,NA,20260626055009,2026-06-26 10:02:44
99060,NA,NA,NA,NA,NA,NA,NA,20260626055009,2026-06-26 10:02:44
NA,NA,NA,NA,NA,NA,NA,NA,20260626055009,2026-06-26 10:02:44
NA,NA,NA,NA,NA,NA,-77.50711665479473,53.59927961569264,20260626055009,2026-06-26 10:02:44
1,NA,NA,NA,NA,NA,NA,NA,20260626082001,2026-06-26 12:27:05
182104,NA,NA,NA,NA,NA,NA,NA,20260626082001,2026-06-26 12:27:05
NA,NA,NA,NA,NA,NA,NA,NA,20260626082001,2026-06-26 12:27:05
NA,NA,NA,NA,NA,NA,NA,NA,20260626082001,2026-06-26 12:27:05
NA,NA,NA,NA,NA,NA,NA,NA,20260626082001,2026-06-26 12:27:05
NA,NA,NA,NA,NA,NA,NA,NA,20260626082001,2026-06-26 12:27:05
NA,NA,NA,NA,NA,NA,NA,NA,20260626082001,2026-06-26 12:27:05
NA,NA,NA,NA,NA,NA,NA,NA,20260626082001,2026-06-26 12:27:05
NA,NA,NA,NA,NA,NA,NA,NA,20260626082001,2026-06-26 12:27:05
NA,NA,NA,NA,NA,NA,NA,NA,20260626082001,2026-06-26 12:27:05
71,NA,NA,NA,NA,NA,NA,NA,20260626082001,2026-06-26 12:27:05
99,NA,NA,NA,NA,NA,NA,NA,20260626082001,2026-06-26 12:27:05
NA,NA,NA,NA,NA,NA,NA,NA,20260626082001,2026-06-26 12:27:05
89008,NA,NA,NA,NA,NA,NA,NA,20260626082001,2026-06-26 12:27:05
NA,NA,NA,NA,NA,NA,NA,NA,20260626082001,2026-06-26 12:27:05
NA,NA,NA,NA,NA,NA,-77.76367026714125,48.11234961983573,20260626082001,2026-06-26 12:27:05
1,NA,NA,NA,NA,NA,NA,NA,20260626110017,2026-06-26 15:08:13
182104,NA,NA,NA,NA,NA,NA,NA,20260626110017,2026-06-26 15:08:13
NA,NA,NA,NA,NA,NA,NA,NA,20260626110017,2026-06-26 15:08:13
NA,NA,NA,NA,NA,NA,NA,NA,20260626110017,2026-06-26 15:08:13
NA,NA,NA,NA,NA,NA,NA,NA,20260626110017,2026-06-26 15:08:13
NA,NA,NA,NA,NA,NA,NA,NA,20260626110017,2026-06-26 15:08:13
NA,NA,NA,NA,NA,NA,NA,NA,20260626110017,2026-06-26 15:08:13
NA,NA,NA,NA,NA,NA,NA,NA,20260626110017,2026-06-26 15:08:13
NA,NA,NA,NA,NA,NA,NA,NA,20260626110017,2026-06-26 15:08:13
NA,NA,NA,NA,NA,NA,NA,NA,20260626110017,2026-06-26 15:08:13
71,NA,NA,NA,NA,NA,NA,NA,20260626110017,2026-06-26 15:08:13
99,NA,NA,NA,NA,NA,NA,NA,20260626110017,2026-06-26 15:08:13
NA,NA,NA,NA,NA,NA,NA,NA,20260626110017,2026-06-26 15:08:13
89008,NA,NA,NA,NA,NA,NA,NA,20260626110017,2026-06-26 15:08:13
NA,NA,NA,NA,NA,NA,NA,NA,20260626110017,2026-06-26 15:08:13
NA,NA,NA,NA,NA,NA,-77.76367026714125,48.11234961983573,20260626110017,2026-06-26 15:08:13
1,NA,NA,NA,NA,NA,NA,NA,20260626130010,2026-06-26 17:07:37
182104,NA,NA,NA,NA,NA,NA,NA,20260626130010,2026-06-26 17:07:37
NA,NA,NA,NA,NA,NA,NA,NA,20260626130010,2026-06-26 17:07:37
NA,NA,NA,NA,NA,NA,NA,NA,20260626130010,2026-06-26 17:07:37
NA,NA,NA,NA,NA,NA,NA,NA,20260626130010,2026-06-26 17:07:37
NA,NA,NA,NA,NA,NA,NA,NA,20260626130010,2026-06-26 17:07:37
NA,NA,NA,NA,NA,NA,NA,NA,20260626130010,2026-06-26 17:07:37
NA,NA,NA,NA,NA,NA,NA,NA,20260626130010,2026-06-26 17:07:37
